nome_curto,dimensao,exemplo_valor
so2_con_clean_flue_gas_rectifi_mg_m3,adimensional/nd,2443.009
so2_con_raw_flue_gas_rectified_mg_nm3,adimensional/nd,715.631
so2_concentration_raw_flue_gas_mg_m3,adimensional/nd,17.731
status_operacao,adimensional/nd,1.0
total_air_flow_knm3_h,adimensional/nd,634.68
total_paf_air_flow_knm3_h,adimensional/nd,432.125
differential_prs_of_furnace_a_kpa,kPa,0.812
differential_prs_of_furnace_b_kpa,kPa,0.625
esp_comb_with_ff_a_inl_prs_1_kpa,kPa,-2.574
esp_comb_with_ff_a_inl_prs_2_kpa,kPa,-2.544
esp_comb_with_ff_b_inl_prs_1_kpa,kPa,-1.864
esp_comb_with_ff_b_inl_prs_2_kpa,kPa,-2.496
esp_comb_with_ff_b_outl_prs_kpa,kPa,-3.313
id_fan_a_outlet_pressure_kpa,kPa,-0.088
id_fan_b_outlet_pressure_kpa,kPa,-0.095
lms_pdr_bin_flud_blwr_ol_prs_kpa,kPa,52.614
press_2_3_of_furnace_b_bed_kpa,kPa,4.434
pressure_1_of_furnace_a_bed_kpa,kPa,2.466
pressure_1_of_furnace_b_bed_kpa,kPa,0.899
pressure_3_of_furnace_bed_kpa,kPa,4.449
pressure_of_furnace_a_lower_kpa,kPa,1.4
pressure_of_furnace_b_lower_kpa,kPa,1.372
pressure_of_sa_fan_a_outlet_kpa,kPa,4.313
pressure_of_sa_fan_b_outlet_kpa,kPa,4.457
prs_air_in_stm_aph_paf_a_outl_kpa,kPa,14.731
prs_air_in_stm_aph_paf_b_outl_kpa,kPa,14.727
prs_hot_pri_air_in_aph_outl_kpa,kPa,14.098
prs_hot_sa_saf_a_in_aph_outl_kpa,kPa,4.106
prs_of_condensate_pump_a_inlet_kpa,kPa,-69.216
prs_of_condensate_pump_b_inlet_kpa,kPa,-69.285
prs_of_gas_in_aph_outlet_kpa,kPa,-2.536
prs_of_gas_in_ecmz_side_b_outl_kpa,kPa,-1.599
prs_of_gas_in_ltr_side_a_inlet_kpa,kPa,-1.257
prs_of_gas_in_ltr_side_a_outl_kpa,kPa,-1.447
prs_of_gas_in_ltr_side_b_inlet_kpa,kPa,-1.228
prs_of_gas_in_ltr_side_b_outl_kpa,kPa,-1.434
prs_of_hpfa_fan_a_outlet_head_kpa,kPa,54.339
prs_of_hpfa_fan_b_outlet_head_kpa,kPa,54.257
prs_of_hpfa_fan_c_outlet_head_kpa,kPa,0.023
prs_of_hpfa_fan_outl_head_pipe_kpa,kPa,52.265
u_valve_a_inlet_static_prs_kpa,kPa,-0.773
u_valve_b_inlet_static_prs_kpa,kPa,-0.15
u_valve_c_inlet_static_prs_kpa,kPa,-0.799
vacuum_pres_from_tcs_kpa,kPa,10.341
sa_fan_a_fq_speed_feedback_rpm,rpm,846.682
sa_fan_b_fq_speed_feedback_rpm,rpm,845.318
idf_b_volumetric_flow_rate_cal_m3_s,s,162.987
feed_water_flw_sel_t_h,t/h,459.009
flw_of_cnd_water_before_dea_t_h,t/h,462.685
flw_output_of_belt_coal_fdr_a1_t_h,t/h,22.161
flw_output_of_belt_coal_fdr_a2_t_h,t/h,22.216
flw_output_of_belt_coal_fdr_b1_t_h,t/h,22.271
flw_output_of_belt_coal_fdr_b2_t_h,t/h,22.134
flw_output_of_belt_coal_fdr_b3_t_h,t/h,21.369
flw_output_of_belt_coal_fdr_b4_t_h,t/h,21.172
flw_output_of_belt_coal_fdr_c1_t_h,t/h,21.214
flw_output_of_belt_coal_fdr_c2_t_h,t/h,21.324
flw_total_a_t_h,t/h,44.377
flw_total_b_t_h,t/h,86.946
flw_total_c_t_h,t/h,42.538
main_steam_flow_sel_t_h,t/h,540.312
total_fuel_flow_t_h,t/h,173.252
Timestamp,timestamp,2023-03-01 07:00:00
bed_temperature_average_adegc,°C,761.795
esp_comb_with_ff_b_outl_temp_adegc,°C,101.267
fsh_outl_hdr_temp_adegc_min,°C,-0.358
furnace_bed_temp_10_12_sel_adegc,°C,760.133
furnace_bed_temp_13_15_sel_adegc,°C,753.804
furnace_bed_temp_16_18_sel_adegc,°C,780.632
furnace_bed_temp_1_3_sel_adegc,°C,732.287
furnace_bed_temp_4_6_sel_adegc,°C,737.218
furnace_bed_temp_7_9_sel_adegc,°C,763.715
hi_te_rh_ol_temp_adegc_min,°C,-0.358
hi_temperture_reheol_pres_mpa_mi,°C,0.006
hot_reheat_steam_temperature_1_adegc,°C,533.551
lms_pdr_bin_flud_air_htr_ol_te_adegc,°C,120.534
miain_steam_temperature_adegc,°C,534.91
t_bfbp_b_inlet_temperature_adegc,°C,138.081
te_no_6_hp_heater_ol_feed_wtr_adegc,°C,199.418
te_no_7_hp_heater_ol_feed_wtr_adegc,°C,224.322
te_no_8_hp_heater_ol_feed_wtr_adegc,°C,249.275
te_of_gas_in_ecmz_side_a_outl_adegc,°C,296.104
te_of_gas_in_ecmz_side_b_outl_adegc,°C,300.422
te_of_hot_pri_air_in_aph_outl_adegc,°C,261.133
te_of_hpfa_fan_outl_head_pipe_adegc,°C,94.024
temp_1_of_furnace_a_inner_adegc,°C,716.825
temp_1_of_furnace_b_inner_adegc,°C,737.087
temp_3_of_furnace_a_inner_adegc,°C,727.898
temp_3_of_furnace_b_inner_adegc,°C,742.728
temp_of_3_lph_outl_wtr_adegc,°C,71.031
temp_of_4_lph_outl_wtr_adegc,°C,69.993
temp_of_cnd_pump_outl_header_adegc,°C,45.459
temp_of_cnd_water_of_dea_inl_adegc,°C,69.035
temp_of_furnace_a_outl_adegc,°C,690.591
temp_of_furnace_b_outl_adegc,°C,723.267
temp_of_gas_in_aph_outl_adegc,°C,118.027
temp_of_gas_in_ltr_side_a_inl_adegc,°C,624.98
temp_of_gas_in_ltr_side_a_outl_adegc,°C,447.526
temp_of_gas_in_ltr_side_b_inl_adegc,°C,661.585
temp_of_gas_in_ltr_side_b_outl_adegc,°C,459.933
temp_of_hpfa_fan_a_outl_adegc,°C,95.351
temp_of_hpfa_fan_b_outl_adegc,°C,95.351
temp_of_hpfa_fan_c_outl_adegc,°C,23.507
temperature_of_cyclone_a_inlet_adegc,°C,745.441
temperature_of_cyclone_b_inlet_adegc,°C,729.978
temperature_of_cyclone_c_inlet_adegc,°C,769.65
