Variavel_1,Variavel_2,Pearson_r
furnace_bed_temp_16_18_sel_adegc,furnace_bed_temp_7_9_sel_adegc,0.9957580156975776
differential_prs_of_furnace_a_kpa,hot_reheat_steam_pressure_mpa,0.9957270247942308
hot_reheat_steam_pressure_mpa,differential_prs_of_furnace_a_kpa,0.9957270247942308
temp_of_furnace_a_outl_adegc,temp_3_of_furnace_b_inner_adegc,0.9957226717775268
temp_3_of_furnace_b_inner_adegc,temp_of_furnace_a_outl_adegc,0.9957226717775268
furnace_bed_temp_7_9_sel_adegc,temperature_of_cyclone_b_inlet_adegc,0.9957190773387096
temperature_of_cyclone_b_inlet_adegc,furnace_bed_temp_7_9_sel_adegc,0.9957190773387096
pressure_of_furnace_b_lower_kpa,u_valve_c_inlet_static_prs_kpa,0.9957074414491857
u_valve_c_inlet_static_prs_kpa,pressure_of_furnace_b_lower_kpa,0.9957074414491857
furnace_bed_temp_4_6_sel_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9956829428389008
temp_of_gas_in_ltr_side_a_inl_adegc,furnace_bed_temp_4_6_sel_adegc,0.9956829428389008
furnace_bed_temp_7_9_sel_adegc,furnace_bed_temp_1_3_sel_adegc,0.995538248694813
furnace_bed_temp_1_3_sel_adegc,furnace_bed_temp_7_9_sel_adegc,0.995538248694813
temp_of_furnace_a_outl_adegc,furnace_bed_temp_7_9_sel_adegc,0.9955268897177452
furnace_bed_temp_7_9_sel_adegc,temp_of_furnace_a_outl_adegc,0.9955268897177452
temperature_of_cyclone_b_inlet_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9955229506747153
temp_of_gas_in_ltr_side_a_outl_adegc,temperature_of_cyclone_b_inlet_adegc,0.9955229506747153
hot_reheat_steam_pressure_mpa,pressure_of_furnace_b_lower_kpa,0.9954897081303926
pressure_of_furnace_b_lower_kpa,hot_reheat_steam_pressure_mpa,0.9954897081303926
hot_reheat_steam_pressure_mpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9954560426920701
prs_hot_sa_saf_a_in_aph_outl_kpa,hot_reheat_steam_pressure_mpa,0.9954560426920701
temp_1_of_furnace_b_inner_adegc,furnace_bed_temp_10_12_sel_adegc,0.9953937149583503
furnace_bed_temp_10_12_sel_adegc,temp_1_of_furnace_b_inner_adegc,0.9953937149583503
u_valve_c_inlet_static_prs_kpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9953160917005696
prs_hot_sa_saf_a_in_aph_outl_kpa,u_valve_c_inlet_static_prs_kpa,0.9953160917005696
temp_of_gas_in_ltr_side_a_outl_adegc,temperature_of_cyclone_a_inlet_adegc,0.9953156572266382
temperature_of_cyclone_a_inlet_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9953156572266382
te_of_gas_in_ecmz_side_b_outl_adegc,temperature_of_cyclone_c_inlet_adegc,0.9952743370098363
temperature_of_cyclone_c_inlet_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9952743370098363
te_of_hot_pri_air_in_aph_outl_adegc,hot_reheat_steam_temperature_1_adegc,0.9952667357616471
hot_reheat_steam_temperature_1_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.9952667357616471
temp_of_furnace_a_outl_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9952659984047432
temp_of_gas_in_ltr_side_a_outl_adegc,temp_of_furnace_a_outl_adegc,0.9952659984047432
prs_of_gas_in_ltr_side_b_outl_kpa,esp_comb_with_ff_b_inl_prs_1_kpa,0.9951657977575388
esp_comb_with_ff_b_inl_prs_1_kpa,prs_of_gas_in_ltr_side_b_outl_kpa,0.9951657977575388
temperature_of_cyclone_a_inlet_adegc,furnace_bed_temp_4_6_sel_adegc,0.9951473949755789
furnace_bed_temp_4_6_sel_adegc,temperature_of_cyclone_a_inlet_adegc,0.9951473949755789
differential_prs_of_furnace_a_kpa,prs_of_gas_in_aph_outlet_kpa,0.9950968129014407
prs_of_gas_in_aph_outlet_kpa,differential_prs_of_furnace_a_kpa,0.9950968129014407
prs_of_gas_in_aph_outlet_kpa,esp_comb_with_ff_a_inl_prs_1_kpa,0.9950694595556963
esp_comb_with_ff_a_inl_prs_1_kpa,prs_of_gas_in_aph_outlet_kpa,0.9950694595556963
furnace_bed_temp_4_6_sel_adegc,temperature_of_cyclone_b_inlet_adegc,0.9950093105059998
temperature_of_cyclone_b_inlet_adegc,furnace_bed_temp_4_6_sel_adegc,0.9950093105059998
coal_perc_do_ar_total_,hot_reheat_steam_pressure_mpa,0.9949993813980909
hot_reheat_steam_pressure_mpa,coal_perc_do_ar_total_,0.9949993813980909
u_valve_c_inlet_static_prs_kpa,coal_perc_do_ar_total_,0.9949829223697676
coal_perc_do_ar_total_,u_valve_c_inlet_static_prs_kpa,0.9949829223697676
temperature_of_cyclone_c_inlet_adegc,hot_reheat_steam_temperature_1_adegc,0.9949738171680892
hot_reheat_steam_temperature_1_adegc,temperature_of_cyclone_c_inlet_adegc,0.9949738171680892
te_of_gas_in_ecmz_side_b_outl_adegc,temp_1_of_furnace_a_inner_adegc,0.9948364497859631
temp_1_of_furnace_a_inner_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9948364497859631
pressure_of_furnace_b_lower_kpa,prs_of_gas_in_aph_outlet_kpa,0.9948201581903628
prs_of_gas_in_aph_outlet_kpa,pressure_of_furnace_b_lower_kpa,0.9948201581903628
furnace_bed_temp_7_9_sel_adegc,temperature_of_cyclone_a_inlet_adegc,0.994802920402699
temperature_of_cyclone_a_inlet_adegc,furnace_bed_temp_7_9_sel_adegc,0.994802920402699
temp_1_of_furnace_a_inner_adegc,hot_reheat_steam_temperature_1_adegc,0.9947626778853984
hot_reheat_steam_temperature_1_adegc,temp_1_of_furnace_a_inner_adegc,0.9947626778853984
temp_of_furnace_a_outl_adegc,furnace_bed_temp_4_6_sel_adegc,0.9947438369272517
furnace_bed_temp_4_6_sel_adegc,temp_of_furnace_a_outl_adegc,0.9947438369272517
furnace_bed_temp_16_18_sel_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9946720727485245
temp_of_gas_in_ltr_side_a_outl_adegc,furnace_bed_temp_16_18_sel_adegc,0.9946720727485245
prs_of_gas_in_aph_outlet_kpa,deaerator_pressure_mpa,0.9946483296688681
deaerator_pressure_mpa,prs_of_gas_in_aph_outlet_kpa,0.9946483296688681
prs_hot_sa_saf_a_in_aph_outl_kpa,prs_of_gas_in_aph_outlet_kpa,0.99458281274617
prs_of_gas_in_aph_outlet_kpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.99458281274617
furnace_bed_temp_1_3_sel_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9945792026207914
temp_of_gas_in_ltr_side_a_inl_adegc,furnace_bed_temp_1_3_sel_adegc,0.9945792026207914
temperature_of_cyclone_a_inlet_adegc,furnace_bed_temp_1_3_sel_adegc,0.9945464246805548
furnace_bed_temp_1_3_sel_adegc,temperature_of_cyclone_a_inlet_adegc,0.9945464246805548
temp_of_gas_in_ltr_side_a_outl_adegc,temp_3_of_furnace_b_inner_adegc,0.9943214698179109
temp_3_of_furnace_b_inner_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9943214698179109
u_valve_c_inlet_static_prs_kpa,deaerator_pressure_mpa,0.9943004539707702
deaerator_pressure_mpa,u_valve_c_inlet_static_prs_kpa,0.9943004539707702
furnace_bed_temp_16_18_sel_adegc,furnace_bed_temp_4_6_sel_adegc,0.9942876553058553
furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_16_18_sel_adegc,0.9942876553058553
furnace_bed_temp_4_6_sel_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.994274156909715
temp_of_gas_in_ltr_side_a_outl_adegc,furnace_bed_temp_4_6_sel_adegc,0.994274156909715
coal_perc_do_ar_total_,prs_of_gas_in_aph_outlet_kpa,0.9942418037395425
prs_of_gas_in_aph_outlet_kpa,coal_perc_do_ar_total_,0.9942418037395425
temp_of_gas_in_ltr_side_a_outl_adegc,furnace_bed_temp_7_9_sel_adegc,0.9942248738542734
furnace_bed_temp_7_9_sel_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9942248738542734
furnace_bed_temp_1_3_sel_adegc,temp_of_furnace_a_outl_adegc,0.9941288231241052
temp_of_furnace_a_outl_adegc,furnace_bed_temp_1_3_sel_adegc,0.9941288231241052
hot_reheat_steam_pressure_mpa,deaerator_pressure_mpa,0.994094348958781
deaerator_pressure_mpa,hot_reheat_steam_pressure_mpa,0.994094348958781
temp_1_of_furnace_b_inner_adegc,furnace_bed_temp_16_18_sel_adegc,0.9940569078242452
furnace_bed_temp_16_18_sel_adegc,temp_1_of_furnace_b_inner_adegc,0.9940569078242452
furnace_bed_temp_4_6_sel_adegc,temp_3_of_furnace_b_inner_adegc,0.9940235810968856
temp_3_of_furnace_b_inner_adegc,furnace_bed_temp_4_6_sel_adegc,0.9940235810968856
temperature_of_cyclone_b_inlet_adegc,furnace_bed_temp_1_3_sel_adegc,0.993811113202978
furnace_bed_temp_1_3_sel_adegc,temperature_of_cyclone_b_inlet_adegc,0.993811113202978
esp_comb_with_ff_a_inl_prs_1_kpa,u_valve_c_inlet_static_prs_kpa,0.9937553161180321
u_valve_c_inlet_static_prs_kpa,esp_comb_with_ff_a_inl_prs_1_kpa,0.9937553161180321
temp_3_of_furnace_b_inner_adegc,furnace_bed_temp_7_9_sel_adegc,0.9937209445740759
furnace_bed_temp_7_9_sel_adegc,temp_3_of_furnace_b_inner_adegc,0.9937209445740759
temperature_of_cyclone_a_inlet_adegc,temp_1_of_furnace_b_inner_adegc,0.9936570105873946
temp_1_of_furnace_b_inner_adegc,temperature_of_cyclone_a_inlet_adegc,0.9936570105873946
temp_of_gas_in_aph_outl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9936399490574701
te_of_gas_in_ecmz_side_b_outl_adegc,temp_of_gas_in_aph_outl_adegc,0.9936399490574701
te_of_gas_in_ecmz_side_a_outl_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9936230357109354
temp_of_gas_in_ltr_side_a_inl_adegc,te_of_gas_in_ecmz_side_a_outl_adegc,0.9936230357109354
furnace_bed_temp_16_18_sel_adegc,furnace_bed_temp_10_12_sel_adegc,0.9935118818017807
furnace_bed_temp_10_12_sel_adegc,furnace_bed_temp_16_18_sel_adegc,0.9935118818017807
furnace_bed_temp_10_12_sel_adegc,furnace_bed_temp_4_6_sel_adegc,0.9934578863572998
furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_10_12_sel_adegc,0.9934578863572998
furnace_bed_temp_10_12_sel_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9934403423305338
temp_of_gas_in_ltr_side_a_outl_adegc,furnace_bed_temp_10_12_sel_adegc,0.9934403423305338
temp_of_gas_in_ltr_side_a_outl_adegc,furnace_bed_temp_13_15_sel_adegc,0.9934365857181481
furnace_bed_temp_13_15_sel_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9934365857181481
furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_13_15_sel_adegc,0.9933477602925983
furnace_bed_temp_13_15_sel_adegc,furnace_bed_temp_4_6_sel_adegc,0.9933477602925983
furnace_bed_temp_7_9_sel_adegc,furnace_bed_temp_13_15_sel_adegc,0.9932448370353193
furnace_bed_temp_13_15_sel_adegc,furnace_bed_temp_7_9_sel_adegc,0.9932448370353193
temp_1_of_furnace_b_inner_adegc,furnace_bed_temp_4_6_sel_adegc,0.993209823681976
furnace_bed_temp_4_6_sel_adegc,temp_1_of_furnace_b_inner_adegc,0.993209823681976
temp_of_gas_in_ltr_side_a_inl_adegc,temp_1_of_furnace_b_inner_adegc,0.9930316333348912
temp_1_of_furnace_b_inner_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9930316333348912
temp_of_gas_in_aph_outl_adegc,temp_of_3_lph_outl_wtr_adegc,0.9929671042530926
temp_of_3_lph_outl_wtr_adegc,temp_of_gas_in_aph_outl_adegc,0.9929671042530926
temp_3_of_furnace_b_inner_adegc,furnace_bed_temp_10_12_sel_adegc,0.9929164777616468
