nome_original,nome_pt,dimensao,exemplo_valor
prs_air_in_stm_aph_paf_b_outl_kpa,pressao_air_in_stm_preaq_ar_paf_b_saida,kPa,14.727
prs_hot_pri_air_in_aph_outl_kpa,pressao_hot_pri_air_in_preaq_ar_saida,kPa,14.098
prs_hot_sa_saf_a_in_aph_outl_kpa,pressao_hot_ar_sec_saf_a_in_preaq_ar_sai,kPa,4.106
prs_of_condensate_pump_a_inlet_kpa,pressao_condensado_bomba_a_entrada,kPa,-69.216
prs_of_condensate_pump_b_inlet_kpa,pressao_condensado_bomba_b_entrada,kPa,-69.285
prs_of_gas_in_aph_outlet_kpa,pressao_gas_in_preaq_ar_saida,kPa,-2.536
prs_of_gas_in_ecmz_side_b_outl_kpa,pressao_gas_in_econ_lado_b_saida,kPa,-1.599
prs_of_gas_in_ltr_side_a_inlet_kpa,pressao_gas_in_ltr_lado_a_entrada,kPa,-1.257
prs_of_gas_in_ltr_side_a_outl_kpa,pressao_gas_in_ltr_lado_a_saida,kPa,-1.447
prs_of_gas_in_ltr_side_b_inlet_kpa,pressao_gas_in_ltr_lado_b_entrada,kPa,-1.228
prs_of_gas_in_ltr_side_b_outl_kpa,pressao_gas_in_ltr_lado_b_saida,kPa,-1.434
prs_of_hpfa_fan_a_outlet_head_kpa,pressao_ar_flu_ap_vent_a_saida_head,kPa,54.339
prs_of_hpfa_fan_b_outlet_head_kpa,pressao_ar_flu_ap_vent_b_saida_head,kPa,54.257
prs_of_hpfa_fan_c_outlet_head_kpa,pressao_ar_flu_ap_vent_c_saida_head,kPa,0.023
prs_of_hpfa_fan_outl_head_pipe_kpa,pressao_ar_flu_ap_vent_saida_head_pipe,kPa,52.265
u_valve_a_inlet_static_prs_kpa,u_valve_a_entrada_static_pressao,kPa,-0.773
u_valve_b_inlet_static_prs_kpa,u_valve_b_entrada_static_pressao,kPa,-0.15
u_valve_c_inlet_static_prs_kpa,u_valve_c_entrada_static_pressao,kPa,-0.799
vacuum_pres_from_tcs_kpa,vacuum_pres_from_tcs,kPa,10.341
sa_fan_a_fq_speed_feedback_rpm,ar_sec_vent_a_fq_speed_feedback,rpm,846.682
sa_fan_b_fq_speed_feedback_rpm,ar_sec_vent_b_fq_speed_feedback,rpm,845.318
idf_b_volumetric_flow_rate_cal_m3_s,vent_tiragem_b_volumetric_vazao_rate_cal,s,162.987
feed_water_flw_sel_t_h,vazao_agua_alimentacao,t/h,459.009
flw_of_cnd_water_before_dea_t_h,vazao_cnd_agua_before_desaerador,t/h,462.685
flw_output_of_belt_coal_fdr_a1_t_h,vazao_output_belt_carvao_fdr_a1,t/h,22.161
flw_output_of_belt_coal_fdr_a2_t_h,vazao_output_belt_carvao_fdr_a2,t/h,22.216
flw_output_of_belt_coal_fdr_b1_t_h,vazao_output_belt_carvao_fdr_b1,t/h,22.271
flw_output_of_belt_coal_fdr_b2_t_h,vazao_output_belt_carvao_fdr_b2,t/h,22.134
flw_output_of_belt_coal_fdr_b3_t_h,vazao_output_belt_carvao_fdr_b3,t/h,21.369
flw_output_of_belt_coal_fdr_b4_t_h,vazao_output_belt_carvao_fdr_b4,t/h,21.172
flw_output_of_belt_coal_fdr_c1_t_h,vazao_output_belt_carvao_fdr_c1,t/h,21.214
flw_output_of_belt_coal_fdr_c2_t_h,vazao_output_belt_carvao_fdr_c2,t/h,21.324
flw_total_a_t_h,vazao_total_a,t/h,44.377
flw_total_b_t_h,vazao_total_b,t/h,86.946
flw_total_c_t_h,vazao_total_c,t/h,42.538
main_steam_flow_sel_t_h,vazao_vapor_principal,t/h,540.312
total_fuel_flow_t_h,total_fuel_vazao,t/h,173.252
timestamp,timestamp,timestamp,2023-03-01 07:00:00
bed_temperature_average_adegc,leito_temp_average,°C,761.795
esp_comb_with_ff_b_outl_temp_adegc,esp_comb_ff_b_saida_temp,°C,101.267
fsh_outl_hdr_temp_adegc_min,fsh_saida_coletor_temp_adegc_min,°C,-0.358
furnace_bed_temp_10_12_sel_adegc,fornalha_leito_temp_10_12,°C,760.133
furnace_bed_temp_13_15_sel_adegc,fornalha_leito_temp_13_15,°C,753.804
furnace_bed_temp_16_18_sel_adegc,fornalha_leito_temp_16_18,°C,780.632
furnace_bed_temp_1_3_sel_adegc,fornalha_leito_temp_1_3,°C,732.287
furnace_bed_temp_4_6_sel_adegc,fornalha_leito_temp_4_6,°C,737.218
furnace_bed_temp_7_9_sel_adegc,fornalha_leito_temp_7_9,°C,763.715
hi_te_rh_ol_temp_adegc_min,hi_temp_rh_temp_adegc_min,°C,-0.358
hi_temperture_reheol_pres_mpa_mi,hi_temperture_reheol_pres_mpa,°C,0.006
hot_reheat_steam_temperature_1_adegc,temp_vapor_reaquec_1,°C,533.551
lms_pdr_bin_flud_air_htr_ol_te_adegc,lms_pdr_bin_flud_air_htr_temp,°C,120.534
miain_steam_temperature_adegc,miain_vapor_temp,°C,534.91
t_bfbp_b_inlet_temperature_adegc,t_bfbp_b_entrada_temp,°C,138.081
te_no_6_hp_heater_ol_feed_wtr_adegc,temp_no_6_hp_heater_feed_wtr,°C,199.418
te_no_7_hp_heater_ol_feed_wtr_adegc,temp_no_7_hp_heater_feed_wtr,°C,224.322
te_no_8_hp_heater_ol_feed_wtr_adegc,temp_no_8_hp_heater_feed_wtr,°C,249.275
te_of_gas_in_ecmz_side_a_outl_adegc,temp_gas_in_econ_lado_a_saida,°C,296.104
te_of_gas_in_ecmz_side_b_outl_adegc,temp_gas_in_econ_lado_b_saida,°C,300.422
te_of_hot_pri_air_in_aph_outl_adegc,temp_hot_pri_air_in_preaq_ar_saida,°C,261.133
te_of_hpfa_fan_outl_head_pipe_adegc,temp_ar_flu_ap_vent_saida_head_pipe,°C,94.024
temp_1_of_furnace_a_inner_adegc,temp_1_fornalha_a_inner,°C,716.825
temp_1_of_furnace_b_inner_adegc,temp_1_fornalha_b_inner,°C,737.087
temp_3_of_furnace_a_inner_adegc,temp_3_fornalha_a_inner,°C,727.898
temp_3_of_furnace_b_inner_adegc,temp_3_fornalha_b_inner,°C,742.728
temp_of_3_lph_outl_wtr_adegc,temp_3_lph_saida_wtr,°C,71.031
temp_of_4_lph_outl_wtr_adegc,temp_4_lph_saida_wtr,°C,69.993
temp_of_cnd_pump_outl_header_adegc,temp_cnd_bomba_saida_header,°C,45.459
temp_of_cnd_water_of_dea_inl_adegc,temp_cnd_agua_desaerador_entrada,°C,69.035
temp_of_furnace_a_outl_adegc,temp_fornalha_a_saida,°C,690.591
temp_of_furnace_b_outl_adegc,temp_fornalha_b_saida,°C,723.267
temp_of_gas_in_aph_outl_adegc,temp_gas_in_preaq_ar_saida,°C,118.027
temp_of_gas_in_ltr_side_a_inl_adegc,temp_gas_in_ltr_lado_a_entrada,°C,624.98
temp_of_gas_in_ltr_side_a_outl_adegc,temp_gas_in_ltr_lado_a_saida,°C,447.526
temp_of_gas_in_ltr_side_b_inl_adegc,temp_gas_in_ltr_lado_b_entrada,°C,661.585
temp_of_gas_in_ltr_side_b_outl_adegc,temp_gas_in_ltr_lado_b_saida,°C,459.933
temp_of_hpfa_fan_a_outl_adegc,temp_ar_flu_ap_vent_a_saida,°C,95.351
temp_of_hpfa_fan_b_outl_adegc,temp_ar_flu_ap_vent_b_saida,°C,95.351
temp_of_hpfa_fan_c_outl_adegc,temp_ar_flu_ap_vent_c_saida,°C,23.507
temperature_of_cyclone_a_inlet_adegc,temp_cyclone_a_entrada,°C,745.441
temperature_of_cyclone_b_inlet_adegc,temp_cyclone_b_entrada,°C,729.978
temperature_of_cyclone_c_inlet_adegc,temp_cyclone_c_entrada,°C,769.65
